Mesto,Ime,Single,SingleRekord,Average,AverageRekord,Drzava,Poskusi,ImeRunde,IndeksRunde,Leto
1,Alexey Tsvetkov,6.41,,7.48,,ru,7.50 7.42 (7.94) (6.41) 7.51,3x3x3 Cube Final,0,2022
2,Staš Zupanc,7.85,,8.74,,si,(10.53) 9.47 8.64 8.10 (7.85),3x3x3 Cube Final,0,2022
3,Benedek Zimányi,8.10,,9.10,,hu,(10.81) 9.25 9.16 (8.10) 8.88,3x3x3 Cube Final,0,2022
4,Kristóf Veres,7.87,,9.36,,hu,8.31 (11.72) 10.65 9.13 (7.87),3x3x3 Cube Final,0,2022
5,Marcel Ručigaj,7.79,,9.39,,si,(7.79) 10.24 (10.38) 9.58 8.35,3x3x3 Cube Final,0,2022
6,Bence Barát,8.00,,9.86,,hu,10.02 9.85 (8.00) (10.80) 9.70,3x3x3 Cube Final,0,2022
7,Gergely Novotni,8.54,,9.94,,hu,9.61 (10.74) (8.54) 10.48 9.73,3x3x3 Cube Final,0,2022
8,Bálint Csengő,8.51,,10.03,,hu,9.12 9.20 (11.82) 11.76 (8.51),3x3x3 Cube Final,0,2022
9,Szabolcs Szántai,8.81,,10.33,,hu,9.37 10.94 (8.81) (10.99) 10.68,3x3x3 Cube Final,0,2022
10,Matic Omulec,9.92,,10.86,,si,(13.67) (9.92) 10.73 10.96 10.90,3x3x3 Cube Final,0,2022
1,Alexey Tsvetkov,6.47,,7.42,,ru,7.77 (6.47) (8.01) 7.49 6.99,3x3x3 Cube Second round,1,2022
2,Staš Zupanc,7.34,,7.62,NR,si,(9.24) 7.43 (7.34) 7.77 7.65,3x3x3 Cube Second round,1,2022
3,Bálint Csengő,7.61,,8.25,,hu,8.13 (7.61) 8.64 7.97 (8.70),3x3x3 Cube Second round,1,2022
4,Marcel Ručigaj,7.56,,8.66,,si,(9.76) 8.05 8.35 9.59 (7.56),3x3x3 Cube Second round,1,2022
5,Gergely Novotni,7.01,,8.89,,hu,8.32 9.31 (7.01) (9.42) 9.04,3x3x3 Cube Second round,1,2022
6,Kristóf Veres,7.71,,9.44,,hu,(7.71) 9.32 (11.14) 10.20 8.80,3x3x3 Cube Second round,1,2022
7,Szabolcs Szántai,8.44,,9.51,,hu,9.28 (8.44) 10.12 (10.44) 9.13,3x3x3 Cube Second round,1,2022
8,Matic Omulec,8.72,,9.57,,si,9.46 9.64 (11.14) (8.72) 9.61,3x3x3 Cube Second round,1,2022
9,Bence Barát,8.93,,10.24,,hu,9.22 (8.93) 11.31 10.20 (12.59),3x3x3 Cube Second round,1,2022
10,Benedek Zimányi,8.54,,10.59,,hu,10.74 9.15 (8.54) 11.87 (12.32),3x3x3 Cube Second round,1,2022
11,Jakov Srečković,9.47,,10.87,,hr,11.74 (9.47) 11.17 9.70 (12.06),3x3x3 Cube Second round,1,2022
12,Jakob Kitak,9.68,,10.93,,si,11.37 (12.89) (9.68) 9.93 11.50,3x3x3 Cube Second round,1,2022
13,Benedek Hirth,10.55,,11.31,,hu,11.88 11.00 11.06 (12.51) (10.55),3x3x3 Cube Second round,1,2022
14,Marko Grabner,10.24,,11.37,,si,(10.24) 11.54 12.33 10.25 (13.72),3x3x3 Cube Second round,1,2022
15,Bence Kiácz,10.53,,11.61,,hu,11.57 12.44 (10.53) (13.45) 10.82,3x3x3 Cube Second round,1,2022
16,Alwin Federsel,8.80,,11.87,,at,(8.80) 10.56 11.87 13.18 (DNF),3x3x3 Cube Second round,1,2022
17,Alexander Tenev,9.60,,12.08,,bg,(9.60) 10.78 13.77 11.69 (DNF),3x3x3 Cube Second round,1,2022
18,David Šiška,10.24,,12.37,,si,(10.24) 13.24 12.33 (DNF) 11.54,3x3x3 Cube Second round,1,2022
19,Felix Strasser,10.76,,12.62,,at,11.76 11.73 14.38 (10.76) (DNF),3x3x3 Cube Second round,1,2022
20,Erik Červek Roškarič,9.19,,12.82,,si,12.76 13.74 (15.14) (9.19) 11.95,3x3x3 Cube Second round,1,2022
21,Dániel Varga,12.42,,12.98,,hu,(16.14) 13.29 12.96 12.69 (12.42),3x3x3 Cube Second round,1,2022
22,Tarik Gutlić,10.24,,13.04,,ba,13.65 11.42 14.06 (10.24) (14.52),3x3x3 Cube Second round,1,2022
23,Konstantin Jaehne,12.92,,13.12,,de,13.01 13.22 13.12 (12.92) (13.93),3x3x3 Cube Second round,1,2022
24,Marcel Niedl,11.00,,13.28,,at,(11.00) 12.75 13.65 (14.66) 13.45,3x3x3 Cube Second round,1,2022
25,Filip Aleksić,11.51,,13.67,,ba,14.77 14.69 (11.51) 11.54 (15.31),3x3x3 Cube Second round,1,2022
26,Ádám Szabó,11.54,,14.16,,hu,(15.02) 14.41 14.50 13.58 (11.54),3x3x3 Cube Second round,1,2022
27,Giovanni Maistrello,13.36,,14.16,,it,13.79 14.48 (13.36) 14.21 (22.31),3x3x3 Cube Second round,1,2022
28,Maksim Rozman,13.42,,14.40,,si,(13.42) (16.39) 14.10 15.12 13.99,3x3x3 Cube Second round,1,2022
29,Enej Rupnik,9.93,,14.51,,si,14.00 (20.09) 15.52 (9.93) 14.02,3x3x3 Cube Second round,1,2022
30,Filip Premužić,13.53,,14.92,,hr,16.06 13.61 (17.77) 15.09 (13.53),3x3x3 Cube Second round,1,2022
31,Sven Eder,12.55,,15.19,,hr,15.53 (12.55) 16.76 13.27 (17.59),3x3x3 Cube Second round,1,2022
32,Gergely Faragó,13.57,,15.21,,hu,15.23 16.31 14.08 (13.57) (19.74),3x3x3 Cube Second round,1,2022
33,Filip Barbirič Frank,11.89,,15.44,,si,(18.31) 15.15 17.11 (11.89) 14.06,3x3x3 Cube Second round,1,2022
34,András Orbán,14.37,,15.75,,hu,16.16 (17.78) 16.13 (14.37) 14.97,3x3x3 Cube Second round,1,2022
35,Dušan Zakelšek,13.28,,16.48,,si,16.49 (17.60) 15.60 (13.28) 17.35,3x3x3 Cube Second round,1,2022
36,Anton Kokalj Pezzano,13.26,,16.74,,si,15.18 18.13 16.92 (13.26) (18.83),3x3x3 Cube Second round,1,2022
37,Aljaž Strnad,11.68,,16.89,,si,18.36 14.88 17.42 (18.79) (11.68),3x3x3 Cube Second round,1,2022
38,David Pevec,15.62,,17.15,,si,17.64 (19.00) 16.32 (15.62) 17.49,3x3x3 Cube Second round,1,2022
39,Matej Brkić,14.72,,17.25,,si,(14.72) 15.30 (24.29) 19.62 16.82,3x3x3 Cube Second round,1,2022
40,Jernej Omulec,16.18,,17.26,,si,16.41 17.38 (20.12) (16.18) 17.99,3x3x3 Cube Second round,1,2022
41,Tadej Aleš,14.94,,17.36,,si,18.89 16.70 (19.92) 16.48 (14.94),3x3x3 Cube Second round,1,2022
42,Tajda Horvat,17.09,,18.07,,si,17.63 18.75 (17.09) 17.84 (20.99),3x3x3 Cube Second round,1,2022
43,Jon Napotnik,14.18,,18.16,,si,16.85 18.99 (20.83) (14.18) 18.63,3x3x3 Cube Second round,1,2022
44,Jakob Hladnik,16.00,,18.44,,si,(26.09) 18.84 16.67 19.80 (16.00),3x3x3 Cube Second round,1,2022
45,Tino Joksch,13.56,,18.45,,at,16.88 18.56 (13.56) 19.92 (20.87),3x3x3 Cube Second round,1,2022
46,Juš Mrvar,16.13,,18.76,,si,19.34 19.20 17.74 (23.90) (16.13),3x3x3 Cube Second round,1,2022
47,Branko Kobal,18.54,,19.52,,si,(20.46) (18.54) 19.88 19.64 19.04,3x3x3 Cube Second round,1,2022
48,Maj Rakar,17.10,,19.95,,si,(17.10) 18.89 (21.87) 20.77 20.18,3x3x3 Cube Second round,1,2022
49,Jernej Šubelj,16.58,,20.53,,si,20.08 21.18 (16.58) (21.73) 20.32,3x3x3 Cube Second round,1,2022
50,Tomaž Saje,17.89,,20.97,,si,19.65 22.53 (17.89) (DNF) 20.73,3x3x3 Cube Second round,1,2022
51,Marko Obradović,18.97,,21.83,,si,(24.39) 24.06 (18.97) 21.24 20.19,3x3x3 Cube Second round,1,2022
52,Noah Treichler,20.51,,22.27,,at,21.47 (20.51) 20.90 (26.03) 24.44,3x3x3 Cube Second round,1,2022
53,Filip Judež,18.13,,22.94,,si,31.86 18.33 (DNF) (18.13) 18.64,3x3x3 Cube Second round,1,2022
54,Danijel Bajsić,22.08,,24.40,,hr,24.82 (22.08) 25.13 (32.15) 23.26,3x3x3 Cube Second round,1,2022
55,Filip Ugovšek,18.24,,24.54,,si,21.87 (26.97) 26.34 (18.24) 25.42,3x3x3 Cube Second round,1,2022
56,Gal Brumec,21.31,,25.43,,si,26.48 (21.31) 27.53 22.27 (39.18),3x3x3 Cube Second round,1,2022
57,Dávid Szabó,20.72,,27.68,,hu,(34.05) (20.72) 28.33 29.68 25.02,3x3x3 Cube Second round,1,2022
58,Matej Bolta,11.84,,DNF,,si,11.94 DNF 15.50 (11.84) (DNF),3x3x3 Cube Second round,1,2022
1,Alexey Tsvetkov,7.29,,7.64,,ru,(10.13) 7.59 7.33 8.00 (7.29),3x3x3 Cube First round,2,2022
2,Staš Zupanc,7.67,,9.10,,si,8.32 (10.51) 10.00 8.99 (7.67),3x3x3 Cube First round,2,2022
3,Marcel Ručigaj,6.25,,9.40,,si,10.04 (6.25) 8.48 9.69 (10.25),3x3x3 Cube First round,2,2022
4,Bálint Csengő,7.27,,9.41,,hu,(10.02) 8.89 (7.27) 9.51 9.83,3x3x3 Cube First round,2,2022
5,Gergely Novotni,8.31,,9.55,,hu,(11.10) 8.63 9.87 10.16 (8.31),3x3x3 Cube First round,2,2022
6,Szabolcs Szántai,9.25,,10.10,,hu,(11.57) (9.25) 9.79 10.13 10.37,3x3x3 Cube First round,2,2022
7,Kristóf Veres,8.49,,10.14,,hu,9.84 9.99 (12.32) 10.58 (8.49),3x3x3 Cube First round,2,2022
8,Bence Barát,9.55,,10.14,,hu,10.25 9.68 (10.91) 10.48 (9.55),3x3x3 Cube First round,2,2022
9,Konstantin Jaehne,8.65,,10.72,,de,(12.43) 10.88 (8.65) 11.13 10.14,3x3x3 Cube First round,2,2022
10,Bence Kiácz,8.25,,10.73,,hu,10.50 (11.23) (8.25) 11.10 10.58,3x3x3 Cube First round,2,2022
11,Benedek Zimányi,8.80,,10.81,,hu,(14.99) 10.95 (8.80) 10.70 10.79,3x3x3 Cube First round,2,2022
12,Benedek Hirth,9.43,,10.89,,hu,11.17 10.81 10.69 (16.20) (9.43),3x3x3 Cube First round,2,2022
13,Alwin Federsel,9.45,,11.28,,at,11.07 (13.24) (9.45) 10.87 11.89,3x3x3 Cube First round,2,2022
14,Alexander Tenev,7.76,,11.44,,bg,13.18 (13.26) 10.09 (7.76) 11.05,3x3x3 Cube First round,2,2022
15,Dániel Varga,8.81,,11.46,,hu,(16.81) (8.81) 11.78 10.41 12.19,3x3x3 Cube First round,2,2022
16,Marcel Niedl,10.35,,11.72,,at,12.00 11.41 (12.43) 11.74 (10.35),3x3x3 Cube First round,2,2022
17,Matic Omulec,9.30,,11.82,,si,(9.30) 12.62 (13.65) 11.18 11.66,3x3x3 Cube First round,2,2022
18,Jakob Kitak,8.44,,12.11,,si,12.54 10.99 (8.44) 12.81 (13.97),3x3x3 Cube First round,2,2022
