Mesto,Ime,Single,SingleRekord,Average,AverageRekord,Drzava,Poskusi,ImeRunde,IndeksRunde,Leto
1,Michael Liubarets,7.25,,7.91,,ua,7.94 8.15 (7.25) (9.07) 7.65,3x3x3 Cube First round,3,2024
2,Alwin Federsel,6.33,,8.26,,at,7.28 (6.33) 8.33 (DNF) 9.16,3x3x3 Cube First round,3,2024
3,Taiyo Berčič,6.50,,8.97,,si,9.93 (12.41) 8.60 (6.50) 8.39,3x3x3 Cube First round,3,2024
4,Dávid Szabó,7.28,,9.05,,hu,10.40 9.29 (7.28) 7.45 (11.21),3x3x3 Cube First round,3,2024
5,Aleksa Radovanović,7.84,,9.24,,rs,10.00 (10.28) 8.57 9.16 (7.84),3x3x3 Cube First round,3,2024
6,Oskar Vidiček,7.87,,9.24,,si,8.49 (7.87) (11.39) 10.96 8.28,3x3x3 Cube First round,3,2024
7,Jakov Srečković,8.97,,9.71,,hr,(11.84) (8.97) 10.31 9.29 9.53,3x3x3 Cube First round,3,2024
8,David Vujasić,8.42,,9.82,,hr,10.44 10.31 8.70 (11.23) (8.42),3x3x3 Cube First round,3,2024
9,Ádám Szabó,8.26,,10.17,,hu,(DNF) 10.13 (8.26) 9.62 10.77,3x3x3 Cube First round,3,2024
10,Simon Mars,8.97,,10.73,,si,10.32 (8.97) (13.60) 11.51 10.35,3x3x3 Cube First round,3,2024
11,Bruno Di Renzo John,9.45,,10.91,,de,11.66 (DNF) 10.29 (9.45) 10.79,3x3x3 Cube First round,3,2024
12,Tomaž Saje,10.14,,10.95,,si,11.70 10.35 (10.14) 10.79 (13.69),3x3x3 Cube First round,3,2024
13,Marcel Ručigaj,8.58,,10.97,,si,(8.58) 10.58 11.46 10.86 (12.60),3x3x3 Cube First round,3,2024
14,Matic Omulec,9.41,,11.23,,si,9.52 13.05 11.13 (14.58) (9.41),3x3x3 Cube First round,3,2024
15,Anton Kokalj Pezzano,9.98,,11.29,,si,12.02 10.49 (12.45) (9.98) 11.36,3x3x3 Cube First round,3,2024
16,Konstantin Jaehne,10.25,,11.59,,de,(13.20) 11.21 (10.25) 11.48 12.08,3x3x3 Cube First round,3,2024
17,Jakob Kitak,10.25,,11.64,,si,11.45 11.40 (12.17) 12.07 (10.25),3x3x3 Cube First round,3,2024
18,Matej Brkić,10.87,,11.64,,si,(10.87) (14.24) 11.36 12.07 11.49,3x3x3 Cube First round,3,2024
19,Bruno Ivančić,9.80,,11.65,,hr,11.78 (9.80) (14.02) 10.71 12.45,3x3x3 Cube First round,3,2024
20,Benedek Szepesi-Réder,11.09,,11.74,,hu,12.58 (14.17) 11.20 (11.09) 11.45,3x3x3 Cube First round,3,2024
21,Muxi Yan,10.92,,11.80,,es,11.86 11.03 (13.84) (10.92) 12.52,3x3x3 Cube First round,3,2024
22,Blaž Kovačič,10.15,,11.91,,si,10.85 (10.15) 11.30 13.59 (14.72),3x3x3 Cube First round,3,2024
23,Filip Premužić,9.57,,12.15,,hr,(9.57) (13.65) 13.04 11.53 11.89,3x3x3 Cube First round,3,2024
24,Serafim Weiß,9.61,,12.23,,de,(15.39) 13.12 12.99 (9.61) 10.59,3x3x3 Cube First round,3,2024
25,Nemanja Vujnović,11.42,,12.49,,ba,11.48 (11.42) 12.54 (16.23) 13.46,3x3x3 Cube First round,3,2024
26,Barbara Kralj,12.17,,12.50,,hr,12.60 12.74 (12.17) 12.17 (12.82),3x3x3 Cube First round,3,2024
27,Stanko Perme,10.19,,12.70,,si,11.93 (10.19) 12.33 (15.76) 13.85,3x3x3 Cube First round,3,2024
28,Roman Sokolovskyi,11.09,,12.80,,ua,(11.09) 12.37 12.83 (16.02) 13.21,3x3x3 Cube First round,3,2024
29,Felix Strasser,11.04,,13.00,,at,(14.52) 13.04 12.20 13.77 (11.04),3x3x3 Cube First round,3,2024
30,Nenad Marjanović,11.75,,13.24,,hr,12.87 (11.75) 13.52 13.34 (13.59),3x3x3 Cube First round,3,2024
31,Darko Zakelšek,11.74,,13.51,,si,13.10 (11.74) (DNF) 12.85 14.57,3x3x3 Cube First round,3,2024
32,Filip Barbirič Frank,10.86,,13.63,,si,(10.86) 13.31 13.35 (16.45) 14.24,3x3x3 Cube First round,3,2024
33,Marin Grgić,11.93,,13.63,,hr,14.15 (11.93) 13.97 (16.66) 12.78,3x3x3 Cube First round,3,2024
34,Riccardo Fiumefreddo,11.90,,13.73,,it,13.66 13.22 14.30 (11.90) (16.49),3x3x3 Cube First round,3,2024
35,Jernej Šubelj,13.01,,13.81,,si,14.26 13.59 (13.01) 13.58 (15.32),3x3x3 Cube First round,3,2024
36,Tisa Megušar,11.76,,14.22,,si,14.97 14.60 (16.29) 13.08 (11.76),3x3x3 Cube First round,3,2024
37,Jakob Hladnik,10.91,,14.44,,si,13.25 (10.91) 14.23 15.85 (23.81),3x3x3 Cube First round,3,2024
38,Izak Lepej,11.77,,14.58,,si,12.63 15.98 15.12 (11.77) (16.74),3x3x3 Cube First round,3,2024
39,Marko Obradović,10.58,,14.77,,si,15.94 (18.83) 11.81 16.57 (10.58),3x3x3 Cube First round,3,2024
40,Dušan Zakelšek,13.32,,14.84,,si,14.25 14.05 16.22 (17.21) (13.32),3x3x3 Cube First round,3,2024
41,Erin Pernar,13.47,,15.09,,hr,14.44 (16.67) 15.00 15.84 (13.47),3x3x3 Cube First round,3,2024
42,Bartul Marušić,13.15,,15.17,,hr,15.90 (13.15) 13.53 (18.44) 16.07,3x3x3 Cube First round,3,2024
43,Urh Remic,13.86,,15.17,,si,14.65 14.09 (24.72) 16.77 (13.86),3x3x3 Cube First round,3,2024
44,Roko Mihael Ivić,14.16,,16.01,,hr,14.35 15.49 (23.86) (14.16) 18.19,3x3x3 Cube First round,3,2024
45,Tom Macele,14.96,,16.04,,si,(14.96) (19.62) 17.61 14.98 15.54,3x3x3 Cube First round,3,2024
46,Oskar Hudomalj,14.90,,16.15,,si,16.36 16.72 (17.65) 15.37 (14.90),3x3x3 Cube First round,3,2024
47,Albert Erdelez,14.15,,16.35,,hr,17.66 (19.34) 14.56 (14.15) 16.82,3x3x3 Cube First round,3,2024
