Mesto,Razdalja,Veter,Ime,Rojstvo,Drzava,Prizorisce,Datum,Rezultat,Starost
1,7.22,-1.4,Malaika MIHAMBO,03 FEB 1994,GER,"Stadio Olimpico, Roma (ITA)",12 JUN 2024,1275,30
2,7.18,0.0,Tara DAVIS-WOODHALL,20 MAY 1999,USA,"Convention Center, Albuquerque, NM (USA) (i)",16 FEB 2024,1258,24
3,6.98,+1.1,Jasmine MOORE,01 MAY 2001,USA,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1213,23
4,6.97,+0.6,Plamena MITKOVA,18 SEP 2004,BUL,"Stadium Ivaylo, Veliko Tarnovo (BUL)",30 JUN 2024,1211,19
5,6.94,+0.1,Larissa IAPICHINO,18 JUL 2002,ITA,"Stadio Olimpico, Roma (ITA)",12 JUN 2024,1205,21
5,6.94,+1.7,Alina ROTARU-KOTTMANN,05 JUN 1993,ROU,"Municipal Theatre Of Piraeus, Piraeus (GRE)",23 JUN 2024,1205,31
5,6.94,+0.9,Tionna TOBIAS,14 NOV 2000,USA,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1205,23
8,6.91,0.0,Mikaelle ASSANI,18 AUG 2002,GER,"Quarterback Immobilien Arena, Leipzig (GER) (i)",18 FEB 2024,1198,21
8,6.91,-0.1,Agate DE SOUSA,05 JUN 2000,POR,"Stadio Olimpico, Roma (ITA)",12 JUN 2024,1198,24
10,6.88,-0.7,Hilary KPATCHA,05 MAY 1998,FRA,"Stadio Olimpico, Roma (ITA)",12 JUN 2024,1195,26
11,6.87,0.0,Ruth USORO,08 OCT 1997,NGR,"Sports Performance Center, Lubbock, TX (USA) (i)",09 FEB 2024,1189,26
11,6.87,-1.2,Natalia LINARES,03 JAN 2003,COL,"Bregy&#243; Athletic Center, Sz&#233;kesfeh&#233;rv&#225;r (HUN)",09 JUL 2024,1196,21
13,6.86,+1.0,Sophia BECKMON,17 AUG 2005,USA,"Demirjian Park, Champaign, IL (USA)",04 MAY 2024,1187,18
13,6.86,-0.7,Quanesha BURKS,15 MAR 1995,USA,"Icahn Stadium, New York, NY (USA)",09 JUN 2024,1191,29
13,6.86,+0.2,Monae&#39; NICHOLS,24 NOV 1998,USA,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1187,25
16,6.85,0.0,Ackelia SMITH,05 FEB 2002,JAM,"Convention Center, Albuquerque, NM (USA) (i)",02 FEB 2024,1185,21
16,6.85,+1.4,Hayla GONZ&#193;LEZ,28 OCT 2003,CUB,"Pista atletismo Fuente de la Ni&#241;a, Guadalajara (ESP)",12 JUN 2024,1185,20
18,6.84,0.0,Ese BRUME,20 JAN 1996,NGR,"Houston-Yeoman FH, Houston, TX (USA) (i)",09 FEB 2024,1183,28
18,6.84,0.0,Viyaleta SKVARTSOVA,15 APR 1998,BLR,"LFK CSKA, Moskva (RUS) (i)",24 FEB 2024,1183,25
18,6.84,-0.3,Annik K&#196;LIN,27 APR 2000,SUI,"Stadio Olimpico, Roma (ITA)",08 JUN 2024,1184,24
21,6.83,+1.1,Lex BROWN,26 APR 2001,USA,"Clyde Hart Track &amp; Field Stadium, Waco, TX (USA)",10 MAY 2024,1180,23
22,6.81,0.0,Laura Raquel M&#220;LLER,23 APR 2004,GER,"Helmut-K&#246;rnig-Halle, Dortmund (GER) (i)",20 JAN 2024,1176,19
23,6.80,0.0,Tacoria HUMPHREY,02 JAN 2003,USA,"Demirjian Park, Champaign, IL (USA)",04 MAY 2024,1174,21
25,6.78,0.0,Yelena SOKOLOVA,23 JUL 1986,RUS,"LFK CSKA, Moskva (RUS) (i)",24 FEB 2024,1169,37
25,6.78,0.0,F&#225;tima DIAME,22 SEP 1996,ESP,"Glasgow Arena, Glasgow (GBR) (i)",03 MAR 2024,1169,27
27,6.77,0.0,Nastassia MIRONCHYK-IVANOVA,13 APR 1989,BLR,"Olimpiyets Arena, Mogilyov (BLR) (i)",19 JAN 2024,1167,34
28,6.76,+0.3,Milica GARDAŠEVIĆ,28 SEP 1998,SRB,"Stadion Śląski, Chorz&#243;w (POL)",18 MAY 2024,1165,25
29,6.75,+1.8,Eliane MARTINS,26 MAY 1986,BRA,"Pista atletismo Fuente de la Ni&#241;a, Guadalajara (ESP)",12 JUN 2024,1163,38
30,6.74,0.0,Sydney WILLITS,28 OCT 2002,USA,"The Track at New Balance, Boston, MA (USA) (i)",08 MAR 2024,1160,21
30,6.74,+0.6,Claire BRYANT,25 AUG 2001,USA,"Hayward Field, Eugene, OR (USA)",06 JUN 2024,1160,22
